id,duration,wavlink,start,stop,speaker_id
525-M-29__00,1.3405625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-31.wav,0,48000,525-M-29
525-M-29__00,1.5610625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-10.wav,0,48000,525-M-29
525-M-29__00,1.521375,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-23.wav,0,48000,525-M-29
525-M-29__00,2.010875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-32.wav,0,48000,525-M-29
525-M-29__1,6.51025,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-7-2.wav,0,48000,525-M-29
525-M-29__2,6.51025,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-7-2.wav,48000,96000,525-M-29
525-M-29__00,1.4905,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-11.wav,0,48000,525-M-29
525-M-29__00,2.152,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-2.wav,0,48000,525-M-29
525-M-29__00,1.0495625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-29.wav,0,48000,525-M-29
525-M-29__00,1.7021875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-26.wav,0,48000,525-M-29
525-M-29__00,2.2005,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-27.wav,0,48000,525-M-29
525-M-29__00,1.42875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-37.wav,0,48000,525-M-29
525-M-29__00,2.09025,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-9.wav,0,48000,525-M-29
525-M-29__00,1.173,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-6.wav,0,48000,525-M-29
525-M-29__00,1.3846875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-5.wav,0,48000,525-M-29
525-M-29__00,1.2788125,/data/processed/speech/zalo_challenge/dataset/525-M-29/525.wav,0,48000,525-M-29
525-M-29__00,2.1975625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-17.wav,0,48000,525-M-29
525-M-29__00,2.204875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-3.wav,0,48000,525-M-29
525-M-29__00,2.4650625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-21.wav,0,48000,525-M-29
525-M-29__00,1.913875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-24.wav,0,48000,525-M-29
525-M-29__1,3.1750625,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-35.wav,0,48000,525-M-29
525-M-29__1,3.474875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-12.wav,0,48000,525-M-29
525-M-29__00,2.5576875,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-13.wav,0,48000,525-M-29
525-M-29__1,5.36225,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-16.wav,0,48000,525-M-29
525-M-29__00,2.2304375,/data/processed/speech/zalo_challenge/dataset/525-M-29/525-19.wav,0,48000,525-M-29
